Type 4 ID,Type 4 Filename,Record ID,Model ID,Type,RefA,Aux
0x0cb33492,1104104.4.bin,0x127bfc43,0xfb177833,0x00000000,0x127bfc43,0xed2f5295
0x0cb33492,1104104.4.bin,0x171f5f58,0x3b90013e,0x0a485000,0xd58bb63d,0x00000000
0x0cb33492,1104104.4.bin,0x1858a37e,0x8ef48cbd,0x00000000,0x1858a37e,0x98cca61b
0x0cb33492,1104104.4.bin,0x1ac9bbb1,0x3d367676,0x0a477a00,0x1ac9bbb1,0x2b0e5cd0
0x0cb33492,1104104.4.bin,0x1d489ffa,0x96eb9269,0x00000000,0xa45d2f4d,0x00000000
0x0cb33492,1104104.4.bin,0x220bf0c5,0x70632ec2,0x00380100,0xe4012c57,0x00000000
0x0cb33492,1104104.4.bin,0x22555bf7,0x8419282e,0x00380100,0xb0ec1c9c,0x00000000
0x0cb33492,1104104.4.bin,0x28498919,0x37a0fef1,0x00000000,0x28498919,0x2198d457
0x0cb33492,1104104.4.bin,0x2de15520,0xa4b24fb8,0x00380100,0x2de15520,0xb28a651e
0x0cb33492,1104104.4.bin,0x3174ba7e,0x3b2897a8,0x00380100,0x3174ba7e,0x00000000
0x0cb33492,1104104.4.bin,0x31f7564c,0x24a29756,0x00000000,0x31f7564c,0x329abdf0
0x0cb33492,1104104.4.bin,0x32ba3239,0xe9317314,0x00380100,0x32ba3239,0x00000000
0x0cb33492,1104104.4.bin,0x3692ba0d,0x6fe64b4f,0x00000000,0x3692ba0d,0x79de61e9
0x0cb33492,1104104.4.bin,0x37141b4d,0x1fbe267f,0x0a467100,0x37141b4d,0x09860cd9
0x0cb33492,1104104.4.bin,0x376bf58a,0x8bfec218,0x00000000,0x376bf58a,0x00000000
0x0cb33492,1104104.4.bin,0x469faae8,0x694a1cea,0x00000000,0x469faae8,0x7f72364c
0x0cb33492,1104104.4.bin,0x49c8a8de,0x8cce6a83,0x00380100,0x49c8a8de,0x9af64025
0x0cb33492,1104104.4.bin,0x4baafe84,0xcad9f527,0x00000000,0xe0618dcc,0x00000000
0x0cb33492,1104104.4.bin,0x4d1ab8ac,0x8d1a6822,0x00380100,0x4d1ab8ac,0x9b224284
0x0cb33492,1104104.4.bin,0x4fbd80e8,0x7e703cc2,0x00000000,0x4fbd80e8,0x68481664
0x0cb33492,1104104.4.bin,0x51ae3e70,0x71778f31,0x00380100,0x51ae3e70,0x674fa597
0x0cb33492,1104104.4.bin,0x553afca1,0x8d5e865d,0x0a467100,0x553afca1,0x9b66acfb
0x0cb33492,1104104.4.bin,0x572ad17b,0x2f096eca,0x00000000,0x572ad17b,0x00000000
0x0cb33492,1104104.4.bin,0x581ab137,0x8c91e142,0x00000000,0x581ab137,0x00000000
0x0cb33492,1104104.4.bin,0x58326b33,0x536491dc,0x0a466e00,0x58326b33,0x00000000
0x0cb33492,1104104.4.bin,0x5908615f,0x17f1ee63,0x00000000,0x5908615f,0x01c9c4c5
0x0cb33492,1104104.4.bin,0x5a438ff8,0x6e9e9471,0x00000000,0x5a438ff8,0x78a6bed7
0x0cb33492,1104104.4.bin,0x5bdb0233,0xa4d2c149,0x00000000,0x5bdb0233,0x00000000
0x0cb33492,1104104.4.bin,0x5cc811f7,0x8b87205e,0x00000000,0x5cc811f7,0x9dbf0af8
0x0cb33492,1104104.4.bin,0x5e91b6be,0xd08e3934,0x00000000,0x5e91b6be,0xc6b61392
0x0cb33492,1104104.4.bin,0x645d1a16,0xa13d6122,0x0a467000,0x645d1a16,0xb7054b84
0x0cb33492,1104104.4.bin,0x652c3db4,0xbf502945,0x00000000,0xdeeca4c1,0xa96803e3
0x0cb33492,1104104.4.bin,0x65c0d022,0xaab57803,0x00000000,0x65c0d022,0xbc8d52a5
0x0cb33492,1104104.4.bin,0x693ec7bc,0xa753670b,0x00000000,0x693ec7bc,0xb16b4dad
0x0cb33492,1104104.4.bin,0x6c1c6c71,0x7863d66f,0x0a4bdb00,0xf57bbe8e,0x00000000
0x0cb33492,1104104.4.bin,0x72f831f4,0x62be501f,0x00380100,0x1228f75f,0x00000000
0x0cb33492,1104104.4.bin,0x75b7dc6c,0x4f807497,0x00380100,0x6c32a2a5,0x00000000
0x0cb33492,1104104.4.bin,0x79902933,0x50a635b7,0x00380100,0x79902933,0x469e1f11
0x0cb33492,1104104.4.bin,0x7e65ac01,0x3e7d8184,0x00000000,0x7e65ac01,0x2845ab22
0x0cb33492,1104104.4.bin,0x80477923,0x80d3309a,0x00000000,0x80477923,0x96eb1a3c
0x0cb33492,1104104.4.bin,0x81604830,0xc119ec18,0x00380100,0x81604830,0xd721c6be
0x0cb33492,1104104.4.bin,0x81aa07b7,0xc33d2df8,0x0a485000,0xc92a40bb,0x00000000
0x0cb33492,1104104.4.bin,0x8335b1b0,0xd27d486b,0x0a466f00,0x8335b1b0,0x00000000
0x0cb33492,1104104.4.bin,0x83aa4eb0,0x66dbfc08,0x00000000,0x15c918a4,0x00000000
0x0cb33492,1104104.4.bin,0x83b88a25,0xd6e2d156,0x00380100,0xc6386e7c,0x00000000
0x0cb33492,1104104.4.bin,0x84204826,0xc1d09bdf,0x00380100,0x7ee4a941,0xd7e8b179
0x0cb33492,1104104.4.bin,0x84204826,0xa6b9b4c7,0x00380100,0xe1add1bd,0x00000000
0x0cb33492,1104104.4.bin,0x84204826,0xef10fad4,0x00380100,0xf20dc7b1,0x00000000
0x0cb33492,1104104.4.bin,0x857a37a4,0x5738e448,0x00000000,0x857a37a4,0x4100ceee
0x0cb33492,1104104.4.bin,0x8c2575ee,0xe868780a,0x0a477a00,0x8c2575ee,0x00000000
0x0cb33492,1104104.4.bin,0x8d59156c,0x6c7dcc23,0x00380100,0x8d59156c,0x00000000
0x0cb33492,1104104.4.bin,0x9098183f,0x32293880,0x00380200,0xbc921aa6,0x00000000
0x0cb33492,1104104.4.bin,0x944af4be,0xef10fad4,0x00380100,0x530daae3,0x00000000
0x0cb33492,1104104.4.bin,0x944af4be,0x3b66435f,0x00380100,0x58c70cd7,0x00000000
0x0cb33492,1104104.4.bin,0x9478e8bf,0xa861c87d,0x0a485000,0x3f1490d4,0x00000000
0x0cb33492,1104104.4.bin,0x94c16510,0xe5fb4b0f,0x00380100,0x94c16510,0x00000000
0x0cb33492,1104104.4.bin,0x9ab8dacb,0xb67ece3b,0x00000000,0x9ab8dacb,0xa046e49d
0x0cb33492,1104104.4.bin,0x9d31872c,0xde3b996b,0x00000000,0x9d31872c,0xc803b3cd
0x0cb33492,1104104.4.bin,0x9dd8ec97,0xfaf37ed6,0x00380100,0xd6764cdb,0x00000000
0x0cb33492,1104104.4.bin,0x9e7269ed,0x984a8016,0x00380100,0xb57c6e4c,0x8e72aab0
0x0cb33492,1104104.4.bin,0xa41b7c5d,0x3fce5862,0x0a467000,0xa41b7c5d,0x29f672c4
0x0cb33492,1104104.4.bin,0xa9926e27,0xfa6a53c8,0x0a479c00,0xa9926e27,0xec52796e
0x0cb33492,1104104.4.bin,0xaadd7941,0x76458d87,0x00000000,0xaadd7941,0x607da721
0x0cb33492,1104104.4.bin,0xad885996,0x28a3a90d,0x0a477a00,0xad885996,0x00000000
0x0cb33492,1104104.4.bin,0xaf1e269e,0x8b8df0df,0x0a467000,0xaf1e269e,0x9db5da79
0x0cb33492,1104104.4.bin,0xb3b3b105,0x9976d27d,0x00380100,0xd582b4bc,0x00000000
0x0cb33492,1104104.4.bin,0xb586d710,0xb2d31abe,0x00000000,0xb586d710,0xa4eb3018
0x0cb33492,1104104.4.bin,0xb5d99860,0xcec99c20,0x00000000,0xb5d99860,0xd8f1b686
0x0cb33492,1104104.4.bin,0xb6718863,0xbd9aa11d,0x0a485000,0xda25a0c0,0x00000000
0x0cb33492,1104104.4.bin,0xb87ad46f,0xf4f4477b,0x00000000,0xb87ad46f,0xe2cc6ddd
0x0cb33492,1104104.4.bin,0xb89a5bf0,0xd6e2d156,0x0a485000,0x480b6963,0x00000000
0x0cb33492,1104104.4.bin,0xb98e0ced,0xaa44e215,0x00000000,0xb98e0ced,0xbc7cc8b3
0x0cb33492,1104104.4.bin,0xbaca8996,0x65342dcc,0x0a465e00,0xbaca8996,0x00000000
0x0cb33492,1104104.4.bin,0xbe39e5bf,0xe6ad89a6,0x00000000,0xea832926,0x00000000
0x0cb33492,1104104.4.bin,0xbf8fdbaa,0x462fb076,0x0a485000,0x739fd0e4,0x50179ad0
0x0cb33492,1104104.4.bin,0xbf8fdbaa,0xb240fbbb,0x0a485000,0xbfc84f31,0x00000000
0x0cb33492,1104104.4.bin,0xc938b157,0x00000000,0x00000000,0xc938b157,0x00000000
0x0cb33492,1104104.4.bin,0xcca3bbcb,0xf75df0ee,0x0a4bdc00,0xbfc1cce6,0x00000000
0x0cb33492,1104104.4.bin,0xcd3135a8,0x90b8590d,0x0a466f00,0xcd3135a8,0x00000000
0x0cb33492,1104104.4.bin,0xcebc5276,0x6fd91db3,0x00000000,0xcebc5276,0x79e13715
